x,y,marker
618040.03559,5039550.72766,0
618150.20531,5039849.79469,0
618470.20531,5040289.79469,0
618916.20667,5040682.38713,0
619980.20531,5041879.79469,0
620120.20531,5042009.79469,0
620236.96346,5042023.03654,0
620400.20531,5042209.79469,0
620764.03841,5042360.97581,0
621666.20667,5042982.38713,0
621729.84427,5043110.87208,0
621570.03559,5043400.72766,0
621560.03559,5043669.27234,0
621619.76928,5043738.54326,0
621620.20531,5043939.79469,0
621810.20531,5044269.79469,0
621986.41774,5044392.48579,0
622110.20531,5044569.79469,0
622395.87785,5044662.30824,0
622806.41774,5044962.48579,0
623148.49008,5045375.06066,0
623209.60159,5045590,0
623189.707,5045991.64073,0
623038.49008,5046244.93934,0
622650.20531,5046300.20531,0
622350.20531,5046620.20531,0
622495.87785,5047087.69176,0
622279.79469,5046850.20531,0
621913.58226,5046607.51421,0
621859.79469,5046520.20531,0
621750.72766,5046530.03559,0
621630.20531,5046630.20531,0
621609.707,5046791.64073,0
621556.41774,5046857.51421,0
621370.72766,5046800.03559,0
621150.20531,5046940.20531,0
620870.20531,5047380.20531,0
620820,5047601.17992,0
620840.20531,5047699.79469,0
621168.49008,5048065.06066,0
621210.20531,5048209.79469,0
621346.96346,5048293.03654,0
621370.20531,5048389.79469,0
621520.20531,5048579.79469,0
621856.41774,5048672.48579,0
622070.20531,5048969.79469,0
622279.29196,5048940,0
622425.78015,5048992.00754,0
622570.20531,5049379.79469,0
622670.20531,5049459.79469,0
622834.03841,5049490.97581,0
623086.80763,5049666.71142,0
622850.72766,5049570.03559,0
622722.99246,5049679.41286,0
622610.72766,5049640.03559,0
622490.20531,5049730.20531,0
622250.20531,5050070.20531,0
622279.707,5050431.64073,0
622114.4323,5050718.80246,0
621260.72766,5050830.03559,0
621201.33228,5050889.81039,0
621159.27234,5050840.03559,0
621103.19237,5050866.71142,0
621089.27234,5050790.03559,0
620580.70804,5050840,0
620405.96159,5050809.02419,0
620319.27234,5050740.03559,0
620108.54326,5050759.76928,0
619899.79469,5050630.20531,0
619509.27234,5050500.03559,0
619138.66772,5050459.81039,0
618919.27234,5050360.03559,0
618590.20531,5050380.20531,0
618510.20531,5050490.20531,0
618470,5050681.17992,0
618480.20531,5050749.79469,0
618589.707,5050828.35927,0
618530.03559,5051040.72766,0
618560.20531,5051159.79469,0
618610.72766,5051209.96441,0
618726.41774,5051202.48579,0
618858.49008,5051325.06066,0
618920.72766,5051459.96441,0
619218.82008,5051490,0
619525.87785,5051432.30824,0
619930.20531,5051879.79469,0
620084.03841,5051920.97581,0
620160.20531,5052009.79469,0
620500.20531,5052199.79469,0
620688.82008,5052250,0
621100.70097,5052190.09976,0
621354.03841,5052320.97581,0
621390,5052360.88588,0
621360.03559,5052509.27234,0
621440.20531,5052639.79469,0
622036.41774,5052922.48579,0
622290.20531,5053169.79469,0
622466.22956,5053232.63749,0
622510.20531,5053309.79469,0
622636.41774,5053372.48579,0
622840.20531,5053599.79469,0
623121.17992,5053660,0
623540,5053620.39841,0
623654.03841,5053650.97581,0
623778.49008,5053755.06066,0
623799.707,5053848.35927,0
623730.03559,5054060.72766,0
623760.20531,5054199.79469,0
624490.20531,5054779.79469,0
624629.79469,5054789.79469,0
624670,5054698.82008,0
624640.88785,5054596.90983,0
624723.03654,5054503.03654,0
624859.79469,5054479.79469,0
625208.66772,5054260.18961,0
625751.33228,5054300.18961,0
626006.20667,5054472.38713,0
626017.69176,5054515.87785,0
625930.20531,5054579.79469,0
626028.49008,5054565.06066,0
626010.03559,5054659.27234,0
626050.20531,5054789.79469,0
626119.707,5054838.35927,0
626110.20531,5054959.79469,0
626256.41774,5055062.48579,0
626279.87688,5055139.22267,0
626289.707,5055551.64073,0
626130.03559,5055860.72766,0
626190.20531,5056049.79469,0
626836.41774,5056572.48579,0
627000.20531,5056809.79469,0
627376.41774,5057082.48579,0
627640.20531,5057429.79469,0
628086.20667,5057802.38713,0
628090.20531,5057899.79469,0
628210.20531,5058079.79469,0
628588.80246,5058455.5677,0
628779.76928,5058788.54326,0
628760.03559,5058909.27234,0
628799.87688,5058930.77733,0
628720.03559,5059050.72766,0
628710,5059268.82008,0
628779.11215,5059276.90983,0
628740.03559,5059379.27234,0
628839.11215,5059636.90983,0
628840.20531,5059769.79469,0
628960.20531,5060009.79469,0
629198.49008,5060235.06066,0
629190.20531,5060339.79469,0
629310.20531,5060559.79469,0
629420.20531,5060649.79469,0
629736.41774,5060772.48579,0
629878.49008,5060965.06066,0
630000.20531,5061309.79469,0
630266.41774,5061432.48579,0
630686.41774,5061832.48579,0
630810.20531,5062009.79469,0
631136.20667,5062302.38713,0
631170.20531,5062419.79469,0
631326.20667,5062532.38713,0
631410.20531,5062679.79469,0
631626.41774,5062802.48579,0
632196.20667,5063262.38713,0
632808.49008,5064055.06066,0
633058.49008,5064505.06066,0
633050.20531,5064579.79469,0
633218.49008,5064755.06066,0
633340.20531,5064969.79469,0
633574.4323,5065041.19754,0
633650.20531,5065219.79469,0
633826.41774,5065242.48579,0
633890.20531,5065369.79469,0
634030.20531,5065489.79469,0
634306.41774,5065642.48579,0
634766.41774,5066002.48579,0
634820.20531,5066099.79469,0
634901.33228,5066090.18961,0
634988.49008,5066145.06066,0
635070.20531,5066419.79469,0
635238.49008,5066575.06066,0
635360.20531,5066879.79469,0
635558.49008,5067075.06066,0
635670.20531,5067339.79469,0
635858.49008,5067565.06066,0
635920.20531,5067799.79469,0
636036.96346,5067833.03654,0
636238.49008,5068165.06066,0
636249.41286,5068292.99246,0
636090,5068581.17992,0
636190.20531,5068779.79469,0
636318.49008,5068885.06066,0
636430.20531,5069099.79469,0
636768.49008,5069385.06066,0
637090.20531,5069929.79469,0
637328.49008,5070145.06066,0
637320.20531,5070249.79469,0
637630.20531,5070829.79469,0
637828.49008,5071015.06066,0
637950.20531,5071219.79469,0
