x,y
619096.6094653776,5039424.217041044
619466.0449623282,5039877.923795646
619892.4398181012,5040364.128022871
620304.6318885274,5040795.434911585
620702.6211736056,5041171.84446178
621110.1004093938,5041512.676624511
621479.117688606,5041739.933590872
621750.0321543296,5041877.994881611
622060.6407006846,5042170.385083324
622309.7505904203,5042477.881899682
622442.3908717535,5042746.761670126
622462.9495629971,5043012.63281995
622432.1325656107,5043232.4482901
622520.7754129372,5043510.618450619
622668.3397492084,5043734.192658548
622861.9560968464,5043949.291358942
623130.9785766944,5044209.678718269
623448.5763058991,5044454.61330785
623759.8107083775,5044721.849926978
624046.2225279097,5045105.860844115
624192.297830404,5045553.281657698
624076.6462224384,5046040.94030352
623808.5304914522,5046586.131794021
623475.9030317962,5047102.759086838
623105.0006411372,5047517.215490009
622765.1446275925,5047717.344083023
622524.804324785,5047708.211789075
622338.6989319462,5047628.29024688
622189.7389392722,5047509.499428732
622043.7562497735,5047426.106395403
622003.2311340056,5047470.538902175
622012.0147350009,5047554.410099885
622023.3868541934,5047641.36341398
622049.6090631554,5047672.76200885
622061.439922458,5047659.554133797
622060.8215992881,5047656.446287367
622126.074134581,5047727.196631446
622245.646955213,5047824.216956243
622413.8954603809,5047890.421069833
622626.0730727925,5048018.947875638
622859.2258484251,5048184.028168665
623086.2633419828,5048380.224457097
623351.334098806,5048646.114730263
623606.3714575466,5048927.225596702
623796.1576802202,5049278.768571882
623875.4170440889,5049601.698492488
623831.8052407559,5049833.898575958
623645.6267169227,5050083.416441865
623380.7429381347,5050335.719818692
623109.0045075897,5050641.965846985
622832.3092963116,5050976.811805403
622498.6952397968,5051260.250580163
622275.8773024417,5051530.07113323
622195.948692802,5051774.196741648
622290.3436588186,5051965.203213375
622470.7342201585,5052130.683934137
622751.8277944995,5052281.393965324
623054.0078678352,5052469.196993642
623268.4330684261,5052646.478754368
623432.0016110317,5052754.407146607
623628.1625414391,5052809.925219776
623817.0874668518,5052871.969643639
623906.7636242833,5052893.234795192
624005.9192122109,5052992.513368379
624116.2111237845,5053149.21889102
624233.4255421774,5053359.491582406
624353.6996899998,5053564.234819204
624508.8212717047,5053687.737764347
624646.0009309021,5053729.080508811
624744.3566488044,5053666.028313173
624824.7975616569,5053493.967963552
625079.3044662266,5053401.382189763
625433.296024106,5053358.49071377
625821.3371385654,5053393.030746855
626204.737497343,5053495.116449214
626531.8970630779,5053664.358610584
626743.7862947849,5053892.043259034
626857.5287787474,5054078.951917958
626926.9094107114,5054244.084740755
627001.2143522266,5054407.841761208
627063.5605704928,5054502.158929018
627128.3687370387,5054620.343082322
627168.8672571338,5054766.12544858
627114.9545578342,5054905.204880314
627117.2827469005,5055115.952953068
627173.2169571659,5055376.572375525
627302.7723206365,5055674.544908013
627519.8338518452,5055990.320941259
627867.415801476,5056313.98840372
628261.1402807101,5056656.399277439
628561.8355914077,5056954.956576649
628777.2468082112,5057186.744334765
629042.308235965,5057469.531913709
629255.5680839007,5057761.808932435
629444.8069244435,5058017.851557718
629573.1064536251,5058243.728093119
629689.499421089,5058498.246143837
629744.5056745993,5058697.669035725
629719.2337703945,5058811.725131469
629707.8038181846,5058915.532285729
629703.439758643,5059014.563996086
629697.4362371524,5059129.82594265
629753.8524225992,5059260.925742453
629815.4024781713,5059389.120765401
629885.1680765289,5059560.001677421
629963.8090563848,5059724.685660327
630059.464526254,5059847.641870275
630184.3945779474,5059951.327030545
630298.0170857501,5060066.880081186
630404.8063913696,5060179.577871906
630607.4652270244,5060359.22978605
630812.4006726363,5060556.166130126
631071.6389040728,5060823.366317159
631321.1058554656,5061110.300681546
631577.5513838001,5061358.368953587
631792.1848049124,5061569.650170114
631930.1008285595,5061749.645415936
632045.340978885,5061850.769731313
632289.4762203853,5062062.616115421
632619.4911823981,5062394.887949696
633011.685688349,5062818.971517452
633383.5792108807,5063255.068779197
633688.1782790511,5063660.794710897
633912.8452914851,5063980.687103359
634015.7784911139,5064172.251534708
634095.8391952191,5064249.649108725
634204.5671434405,5064329.979890774
634335.2703704548,5064442.507960262
634442.155277177,5064524.926473118
634618.2323692251,5064644.970642462
634810.5894478387,5064808.648118734
635027.6756520178,5064964.586501513
635236.0480786739,5065109.140410266
635432.6771332687,5065250.910382712
635596.0380102328,5065386.998261284
635718.6510948099,5065546.194086784
635844.7377994091,5065728.116334604
636013.4358251806,5065975.560216376
636193.0984035918,5066255.312922278
636365.8829848903,5066551.851110423
636523.5722749515,5066789.914038396
636681.3887193496,5067038.118283536
636856.7142604573,5067259.037989865
636961.8673235105,5067476.418726651
637028.8144120814,5067690.183123048
637053.5582544249,5067872.969410544
637058.4102878592,5068040.46576128
637077.0965354604,5068201.700671798
637162.1493090722,5068398.402455634
637378.2531595479,5068683.869842986
637634.2738206508,5068954.593127513
637884.538776997,5069301.425137257
638136.488100857,5069673.125223112
638350.9105833222,5070011.957919152
638526.3723476031,5070285.891658828
638699.9848352413,5070506.990342647
638864.9870243979,5070743.496843213
639023.5054725225,5070972.110455969
639067.0170004551,5071087.909278946
639125.4415581545,5071295.821915846
639187.9004201745,5071636.631926221
639266.0012112693,5071998.512531603
639376.4271134434,5072392.024953913
639582.7728324847,5072856.073282529
639803.4886511941,5073292.123552505
640027.3219994025,5073627.407436458
640122.1956271208,5073851.692416415
640203.0288692235,5074062.897409211
640237.2621776951,5074302.676616996
640221.402415945,5074451.932163689
640254.5912817451,5074605.894777187
640376.6068951117,5074783.771462895
640549.3781398417,5074936.462987607
640780.0472348367,5075023.276120323
641007.9443158738,5075154.888834603
641268.3503656003,5075278.298620952
641540.0870745301,5075407.486454394
641773.1934515929,5075560.727919189
642032.3520831708,5075735.644165089
642251.6956511647,5075925.111283811
642427.0175016532,5076145.963448087
642554.7674472505,5076447.055900248
642642.4288533351,5076831.053092692
642717.4366743882,5077189.02657368
642817.0686962486,5077614.782713226
642945.1154607506,5078088.811929872
643096.4003773429,5078544.369969597
643232.0307536861,5078960.675349593
643303.9409021414,5079299.227493385
643346.7016371218,5079686.074725071
643360.3736946227,5080033.769527709
643348.5069835165,5080307.466885285
643361.6805176043,5080612.596962954
643423.224677495,5080865.112775873
643495.9507750212,5081055.609869538
643545.7551809037,5081164.776473068
643535.6496828571,5081189.955829652
643574.6121727314,5081232.575566567
643660.5846041893,5081255.745882086
643765.4554507318,5081263.306156117
643917.1103708226,5081263.451985484
644043.3327219011,5081232.645616263
644105.623018262,5081176.876009758
644136.1360533535,5081121.125932427
644124.0657363262,5081094.630865916
644076.0936191563,5081072.488393525
644094.1361936895,5081061.298535936
644151.7097789499,5081053.963695137
644266.4302449366,5081054.87547211
644392.0105240233,5081075.659167631
644478.3185325419,5081044.117708033
644598.3114425899,5080991.610319585
644674.2494161117,5080912.741656113
644603.5634064104,5080719.006071933
644482.6794441417,5080475.664960972
644266.3909682857,5080185.867601961
644057.7366098211,5079903.752939438
643896.4199190562,5079661.101210319
643743.4072844103,5079408.074881357
643713.8538734157,5079251.27857987
643701.5740346755,5079036.629137835
643668.634763018,5078780.667221545
643620.2885798125,5078516.549049438
643537.5496480389,5078245.671673749
643452.7629822962,5077975.196750186
643396.8410596737,5077746.635263968
643378.3349803174,5077595.711428671
643377.8196077419,5077461.882866146
643363.0855352592,5077218.737880747
643325.5014947208,5076982.177780787
643319.2240750983,5076831.999749474
643286.3913679672,5076594.306277895
643244.0098659644,5076342.490858801
643191.0718620336,5076080.759910888
643155.3280886183,5075844.537584253
643094.4916296559,5075569.179940979
643049.397265319,5075310.863910949
642983.8156141494,5075152.012929672
642953.6075072873,5075115.077389386
642883.3708558979,5075003.951375747
642750.4710692437,5074887.205221147
642528.6005320338,5074686.119038824
642309.4347668239,5074449.051320737
642115.0705552945,5074193.160241032
641979.1318254756,5073972.791300769
641900.5141821948,5073821.761360657
641881.813710827,5073731.584709698
641884.989907179,5073689.138225339
641860.3784307259,5073661.147396229
641822.1947631942,5073623.596386774
641821.6604271852,5073583.01553121
641752.6000597298,5073490.542912322
641636.8352458982,5073352.480456267
641460.7197413876,5073186.403208973
641233.6227377302,5073031.350897171
641025.2047946303,5072878.513213452
640824.6355995175,5072724.383626558
640683.3413436115,5072559.390073808
640608.2759960351,5072409.960930837
640526.5682015282,5072217.443470189
640445.8235405023,5071993.783726155
640379.2826263988,5071811.684304418
640307.3211441061,5071634.796327704
640265.6089559587,5071462.905126275
640209.4204594055,5071300.914146526
640160.2772130214,5071172.179941365
640135.3366312939,5071121.227433067
640105.689805791,5071060.510995589
640055.1693162955,5070963.296509228
640014.786878658,5070828.730386436
639963.8173667914,5070634.148392713
639905.280034099,5070395.44216972
639833.3238054118,5070201.941282857
639751.8661886742,5070059.013080227
639708.4747011876,5069988.90883063
639654.1484460337,5069936.316475832
639618.4282868067,5069894.859232375
639602.2904964497,5069849.606658855
639615.6861525483,5069792.629150856
639643.7709632615,5069683.878737997
639642.8335814446,5069554.472921725
639616.5351000698,5069335.865314437
639542.9662332176,5069074.911965548
639393.2130490022,5068772.055001386
639197.3862576144,5068525.494048891
638979.4321567558,5068278.822359279
638794.3096590673,5068028.119805018
638679.6923023866,5067849.268983647
638630.4604912587,5067753.544447174
638675.3929069758,5067716.68055228
638790.6312428827,5067774.48870443
638865.6313143631,5067732.963616692
638900.3875619457,5067644.826761298
